F4IAG2-1	locus:2027367	AT1G11720
F4IAT2-1	locus:2826042	AT1G24706
F4IAX0	locus:2028636	AT1G31690
F4IAX1-1	locus:2028606	AT1G31710
F4IB81	locus:2195814	AT1G51940
F4ICB6-1	locus:2034944	AT1G18670
F4ICB6-2	locus:2034944	AT1G18670
F4ICF4-1	locus:2032940	AT1G25290
F4ICF4-2	locus:2032940	AT1G25290
F4ICK8-1	locus:2031715	AT1G32130
F4ICX9-2	locus:2018164	AT1G52410
F4ICX9-1	locus:2018164	AT1G52410
F4IDB2	locus:2193977	AT1G72390
F4IDB2	locus:2193977	AT1G72390
F4IDC2	locus:2193972	AT1G72440
F4IDI6-1	locus:2207385	AT1G79110
F4IDI6-2	locus:2207385	AT1G79110
F4IDQ6	locus:2009200	AT1G06670
F4IDS7	locus:2034735	AT1G12470
F4IDU4	locus:2195072	AT1G12640
F4IDW9	locus:2010321	AT1G12790
F4IDY5	locus:2011266	AT1G18910
F4IE66	locus:2197965	AT1G26370
F4IED2-1	locus:2037925	AT1G32870
F4IEM5	locus:2011466	AT1G52920
F4IF36	locus:2207365	AT1G79350
F4IFM6	locus:2047057	AT2G20990
F4IFN6	locus:2059314	AT2G27120
F4IGZ2-1	locus:2065074	AT2G40130
F4IH25	locus:2063099	AT2G40360
F4IH31-1	locus:2063058	AT2G40410
F4IHS2-1	locus:2062840	AT2G28290
F4IHS2-3	locus:2062840	AT2G28290
F4IHS2-2	locus:2062840	AT2G28290
F4IHS2-2	locus:2062840	AT2G28290
F4IHS9	locus:504955965	AT2G28315
F4IHY7	locus:2062286	AT2G34640
F4II77	locus:2039074	AT2G46370
F4IIM1	locus:2827868	AT2G22125
F4IIS5	locus:2065505	AT2G28620
F4IIU4	locus:2061539	AT2G34680
F4IMH3	locus:2059657	AT2G17250
F4IN23-2	locus:2053761	AT2G42380
F4IN23-1	locus:2053761	AT2G42380
F4IN69	locus:2039356	AT2G48110
F4IPE3-1	locus:2041105	AT2G01940
F4IPE3-2	locus:2041105	AT2G01940
F4IPE3-3	locus:2041105	AT2G01940
F4IPK2-2	locus:2060938	AT2G18000
F4IPK2-1	locus:2060938	AT2G18000
F4IPY2-1	locus:2042521	AT2G31170
F4IQV7	locus:2065868	AT2G31530
F4IRB4-2	locus:2058827	AT2G02820
F4IRB4-1	locus:2058827	AT2G02820
F4IRR2	locus:2065939	AT2G31660
F4IS32	locus:2043899	AT2G43710
F4IS56-1	locus:2044034	AT2G43850
F4IS56-2	locus:2044034	AT2G43850
F4IS91-1	locus:2056881	AT2G03150
F4ISL7	locus:2050327	AT2G25660
F4ISL7	locus:2050327	AT2G25660
F4ISV9-1	locus:4515102961	AT2G38195
F4ISV9-2	locus:4515102961	AT2G38195
F4ITL6	locus:2057366	AT2G26070
F4ITM1	locus:2057401	AT2G26130
F4IUX6	locus:2056038	AT2G39260
F4IV16-2	locus:2042436	AT2G44750
F4IV16-1	locus:2042436	AT2G44750
F4IV66-2	locus:2059775	AT2G04270
F4IV66-3	locus:2059775	AT2G04270
F4IV66-5	locus:2059775	AT2G04270
F4IV66-4	locus:2059775	AT2G04270
F4IV66-1	locus:2059775	AT2G04270
F4IV66-3	locus:2059775	AT2G04270
F4IV66-4	locus:2059775	AT2G04270
F4IV66-4	locus:2059775	AT2G04270
F4IVI0	locus:2827363	AT2G20635
F4IVL6	locus:2039543	AT2G26890
F4IVV0	locus:2051033	AT2G33460
F4IW47	locus:2050837	AT2G45290
F4IW47	locus:2050837	AT2G45290
F4IX26	locus:2079507	AT3G62030
F4IXE7	locus:2086395	AT3G14980
F4IXE7	locus:2086395	AT3G14980
F4IXE7	locus:2086395	AT3G14980
F4IXW2-1	locus:2084706	AT3G43300
F4IY62	locus:2082038	AT3G56040
F4IYM4-1	locus:2095274	AT3G09090
F4IYM4-2	locus:2095274	AT3G09090
F4IYM4-3	locus:2095274	AT3G09090
F4IZR5	locus:2097750	AT3G03110
F4J061	locus:2090409	AT3G22190
F4J061	locus:2090409	AT3G22190
F4J061	locus:2090409	AT3G22190
F4J061	locus:2090409	AT3G22190
F4J077	locus:2091618	AT3G22270
F4J0D2	locus:2095517	AT3G28690
F4J0W4	locus:2099232	AT3G63150
F4J117	locus:2084133	AT3G01510
F4J220-1	locus:2077987	AT3G50920
F4J220-2	locus:2077987	AT3G50920
F4J264	locus:2082563	AT3G57190
F4J2K2	locus:2100048	AT3G10160
F4J2U9	locus:2094558	AT3G23070
F4J339	locus:2076043	AT3G44480
F4J339	locus:2076043	AT3G44480
F4J3N2	locus:2103055	AT3G04340
F4J3R7-2	locus:2075825	AT3G10420
F4J3R7-1	locus:2075825	AT3G10420
F4J3T8-1	locus:2075850	AT3G10550
F4J4C8	locus:2075959	AT3G45040
F4J7T2-1	locus:2087298	AT3G24870
F4J7T3	locus:2087308	AT3G24880
F4J8C6-1	locus:2102057	AT3G01310
F4J8D3	locus:2082299	AT3G01780
F4J8G7	locus:2078082	AT3G05680
F4J8G7	locus:2078082	AT3G05680
F4J9M5	locus:2083033	AT3G06010
F4JAA5	locus:2075566	AT3G46960
F4JAU3	locus:2081106	AT3G06300
F4JBX1	locus:2101831	AT3G60650
F4JCB2	locus:2091221	AT3G19600
F4JCC1	locus:2091171	AT3G19670
F4JCC1	locus:2091171	AT3G19670
F4JCC1	locus:2091171	AT3G19670
F4JCN9	locus:2100342	AT3G47710
F4JCU0-1	locus:2080355	AT3G54230
F4JCU0-2	locus:2080355	AT3G54230
F4JCU0-1	locus:2080355	AT3G54230
F4JCX9-3	locus:2096981	AT3G54500
F4JCX9-1	locus:2096981	AT3G54500
F4JCX9-5	locus:2096981	AT3G54500
F4JCX9-2	locus:2096981	AT3G54500
F4JCX9-5	locus:2096981	AT3G54500
F4JCX9-2	locus:2096981	AT3G54500
F4JEI8	locus:2091591	AT3G13782
F4JEI8	locus:2091591	AT3G13782
F4JEP5	locus:2092404	AT3G20475
F4JF14	locus:2096489	AT3G42660
F4JFN3	locus:2077352	AT3G07770
F4JFN3	locus:2077352	AT3G07770
F4JFN3	locus:2077352	AT3G07770
F4JFU8	locus:2091025	AT3G14360
F4JGP4	locus:2115713	AT4G05190
F4JGR5	locus:2136652	AT4G04040
F4JGZ1-1	locus:2135383	AT4G04920
F4JGZ1-2	locus:2135383	AT4G04920
F4JHA2-1	locus:2137869	AT4G02260
F4JHA2-2	locus:2137869	AT4G02260
F4JHH5	locus:2133244	AT4G02350
F4JHH5	locus:2133244	AT4G02350
